Strike,Moneyness (K/F),Market Vol (%),SABR Implied Vol (%),Vol Diff (bps)
3200.0,0.5378151260504201,48.79,55.03928981737967,624.9289817379666
4000.0,0.6722689075630253,38.47,43.367551087560585,489.75510875605863
4400.0,0.7394957983193278,34.94,38.07533358066984,313.53335806698414
4800.0,0.8067226890756303,31.240000000000002,33.01746491268604,177.7464912686033
5000.0,0.8403361344537815,29.48,30.551950491336715,107.1950491336715
5200.0,0.8739495798319328,27.61,28.117506370679685,50.75063706796834
5300.0,0.8907563025210085,26.75,26.909863077374897,15.986307737489437
5400.0,0.907563025210084,25.89,25.707889680817697,-18.211031918230482
5500.0,0.9243697478991597,25.03,24.511481039512475,-51.85189604875268
5550.0,0.9327731092436975,24.610000000000003,23.915482095559295,-69.45179044407057
5600.0,0.9411764705882353,23.0164,23.321115858622782,30.471585862278104
5650.0,0.9495798319327731,23.049400000000002,22.728589540036307,-32.081045996369404
5700.0,0.957983193277311,22.5451,22.138200642544177,-40.68993574558255
5750.0,0.9663865546218487,22.016,21.550361178585547,-46.56388214144519
5775.0,0.9705882352941176,21.759700000000002,21.257564960449983,-50.213503955001684
5800.0,0.9747899159663865,21.5117,20.96562843036812,-54.60715696318813
5825.0,0.9789915966386554,21.2141,20.67465031732004,-53.944968267995996
5850.0,0.9831932773109243,20.9578,20.3847438092238,-57.305619077619994
5875.0,0.9873949579831933,19.5441,20.096038328904008,55.19383289040086
5900.0,0.9915966386554622,19.6681,19.808681499484436,14.05814994844351
5925.0,0.9957983193277311,19.3374,19.522841306017977,18.54413060179777
5950.0,1.0,19.048000000000002,19.23870845447037,19.070845447036746
5975.0,1.004201680672269,18.618100000000002,18.956498920673074,33.8398920673072
6000.0,1.0084033613445378,18.089,18.67645666973423,58.74566697342293
6025.0,1.0126050420168067,18.1882,18.398856509642407,21.065650964240678
6050.0,1.0168067226890756,17.9319,18.124007020398796,19.210702039879624
6075.0,1.0210084033613445,17.626,17.852253470906632,22.625347090663162
6100.0,1.0252100840336134,17.3863,17.58398059923911,19.76805992391084
6125.0,1.0294117647058822,17.130000000000003,17.319615087485076,18.961508748507327
6150.0,1.0336134453781514,16.915,17.059627510804525,14.462751080452641
6175.0,1.0378151260504203,16.683600000000002,16.804533483847724,12.093348384772383
6200.0,1.0420168067226891,16.4521,16.554893670842663,10.2793670842663
6225.0,1.046218487394958,16.270200000000003,16.311312276031412,4.111227603141032
6250.0,1.050420168067227,15.9891,16.07443359994497,8.533359994497003
6275.0,1.0546218487394958,15.782399999999999,15.844936249029026,6.25362490290271
6300.0,1.0588235294117647,15.6088,15.623524638618672,1.4724638618671126
6325.0,1.0630252100840336,15.4187,15.4109175491684,-0.7782450831600451
6350.0,1.0672268907563025,15.2285,15.207833694983004,-2.066630501699751
6375.0,1.0714285714285714,15.162400000000002,15.01497454421878,-14.742545578121934
6400.0,1.0756302521008403,15.054899999999998,14.833004971548004,-22.189502845199605
6425.0,1.0798319327731092,15.054899999999998,14.662532691343,-39.2367308656999
6450.0,1.084033613445378,14.9226,14.504087749206057,-41.85122507939426
6475.0,1.088235294117647,14.9888,14.358103570893974,-63.069642910602575
